grid_code,latitude,longitude,height,coordinate_system,notes
CC000E06,37.234167,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN001E01,37.23417149,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN001E02,37.23417149,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN001E03,37.23417149,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN001E04,37.23417149,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN001E05,37.23417149,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN001E06,37.23417149,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN002E01,37.23417598,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN002E02,37.23417598,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN002E03,37.23417598,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN002E04,37.23417598,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN002E05,37.23417598,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN002E06,37.23417598,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN003E01,37.23418047,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN003E02,37.23418047,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN003E03,37.23418047,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN003E04,37.23418047,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN003E05,37.23418047,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN003E06,37.23418047,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN004E01,37.23418497,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN004E02,37.23418497,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN004E03,37.23418497,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN004E04,37.23418497,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN004E05,37.23418497,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN004E06,37.23418497,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN005E01,37.23418946,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN005E02,37.23418946,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN005E03,37.23418946,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN005E04,37.23418946,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN005E05,37.23418946,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN005E06,37.23418946,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN006E01,37.23419395,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN006E02,37.23419395,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN006E03,37.23419395,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN006E04,37.23419395,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN006E05,37.23419395,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN006E06,37.23419395,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN007E01,37.23419844,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN007E02,37.23419844,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN007E03,37.23419844,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN007E04,37.23419844,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN007E05,37.23419844,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN007E06,37.23419844,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN008E01,37.23420293,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN008E02,37.23420293,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN008E03,37.23420293,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN008E04,37.23420293,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN008E05,37.23420293,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN008E06,37.23420293,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN009E01,37.23420742,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN009E02,37.23420742,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN009E03,37.23420742,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN009E04,37.23420742,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN009E05,37.23420742,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN009E06,37.23420742,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN010E01,37.23421192,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN010E02,37.23421192,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN010E03,37.23421192,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN010E04,37.23421192,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN010E05,37.23421192,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN010E06,37.23421192,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN011E01,37.23421641,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN011E02,37.23421641,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN011E03,37.23421641,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN011E04,37.23421641,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN011E05,37.23421641,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN011E06,37.23421641,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN012E01,37.2342209,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN012E02,37.2342209,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN012E03,37.2342209,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN012E04,37.2342209,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN012E05,37.2342209,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN012E06,37.2342209,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN013E01,37.23422539,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN013E02,37.23422539,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN013E03,37.23422539,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN013E04,37.23422539,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN013E05,37.23422539,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN013E06,37.23422539,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN014E01,37.23422988,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN014E02,37.23422988,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN014E03,37.23422988,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN014E04,37.23422988,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN014E05,37.23422988,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN014E06,37.23422988,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN015E01,37.23423437,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN015E02,37.23423437,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN015E03,37.23423437,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN015E04,37.23423437,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN015E05,37.23423437,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN015E06,37.23423437,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN016E01,37.23423887,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN016E02,37.23423887,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN016E03,37.23423887,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN016E04,37.23423887,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN016E05,37.23423887,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN016E06,37.23423887,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN017E01,37.23424336,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN017E02,37.23424336,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN017E03,37.23424336,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN017E04,37.23424336,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN017E05,37.23424336,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN017E06,37.23424336,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN018E01,37.23424785,-118.283333,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN018E02,37.23424785,-118.28332871,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN018E03,37.23424785,-118.28332369,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN018E04,37.23424785,-118.2833194,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN018E05,37.23424785,-118.28331438,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
CN018E06,37.23424785,-118.2833101,1206.84,WGS84,Generated from CC000E01 reference on 2025-12-18
